song,cluster
Sad Beautiful Tragic (Taylor's Version),0
Blank Space - Voice Memo,0
The Moment I Knew (Taylor's Version),0
Look What You Made Me Do,0
State Of Grace (Taylor's Version),0
Forever & Always (Taylor’s Version),0
You Belong With Me (Taylor’s Version),0
Superman,0
Stay Beautiful,0
You’re Not Sorry (Taylor’s Version),0
Innocent,0
Red (Taylor's Version),0
Run (feat. Ed Sheeran) (Taylor’s Version) (From The Vault),0
Starlight (Taylor's Version),0
Girl At Home (Taylor's Version),0
New Romantics,0
How You Get The Girl,0
Dear John,0
The Lucky One (Taylor's Version),0
dorothea,0
Love Story (Taylor’s Version),0
I Wish You Would,0
State Of Grace (Acoustic Version) (Taylor's Version),1
Soon You’ll Get Better (feat. The Chicks),1
Untouchable (Taylor’s Version),1
Long Live,1
Teardrops on My Guitar - Pop Version,1
champagne problems,2
You Are In Love,2
Superstar (Taylor’s Version),2
Getaway Car,2
Babe (Taylor's Version) (From The Vault),2
Should've Said No,2
Cold As You,2
We Are Never Ever Getting Back Together (Taylor's Version),2
Bad Blood,2
Cruel Summer,2
Call It What You Want,2
Enchanted,2
This Is Why We Can't Have Nice Things,2
The Other Side Of The Door (Taylor’s Version),2
Mean,2
The Way I Loved You (Taylor’s Version),2
Haunted,2
I Know Places,2
Dancing With Our Hands Tied,2
Ours,2
Jump Then Fall (Taylor’s Version),2
...Ready For It?,2
End Game,2
long story short,2
London Boy,2
Lover,3
It’s Nice To Have A Friend,3
Tim McGraw,3
So It Goes...,3
Mary's Song (Oh My My My),3
Better Man (Taylor's Version) (From The Vault),3
exile (feat. Bon Iver),3
Everything Has Changed (feat. Ed Sheeran) (Taylor’s Version),3
Haunted - Acoustic Version,3
Come Back...Be Here (Taylor's Version),3
Bye Bye Baby (Taylor’s Version) (From The Vault),3
Begin Again (Taylor's Version),3
no body,3
no crime (feat. HAIM),3
willow,3
invisible string,3
ivy,3
the lakes - bonus track,3
False God,3
I Know Places - Voice Memo,3
ME! (feat. Brendon Urie of Panic! At The Disco),4
Wonderland,4
All Too Well (Taylor's Version),4
White Horse (Taylor’s Version),4
I Wish You Would - Voice Memo,5
Ronan (Taylor's Version),5
evermore (feat. Bon Iver),5
Dress,5
The Archer,5
The Best Day (Taylor’s Version),5
Never Grow Up,5
cowboy like me,5
cardigan,5
my tears ricochet,5
Better Than Revenge,6
I'm Only Me When I'm With You,6
Miss Americana & The Heartbreak Prince,6
closure,6
tolerate it,6
the last great american dynasty,6
I Knew You Were Trouble (Taylor's Version),6
A Perfectly Good Heart,6
Holy Ground (Taylor's Version),6
Today Was A Fairytale (Taylor’s Version),6
Shake It Off,6
peace,6
it’s time to go - bonus track,6
Daylight,6
I Bet You Think About Me (feat. Chris Stapleton) (Taylor’s Version) (From The Vault),6
Breathe (feat. Colbie Caillat) (Taylor’s Version),6
Tied Together with a Smile,6
If This Was A Movie,6
I Almost Do (Taylor's Version),6
‘tis the damn season,6
mad woman,6
This Love,6
You All Over Me (feat. Maren Morris) (Taylor’s Version) (From The Vault),6
Back To December - Acoustic,6
Come In With The Rain (Taylor’s Version),6
Back To December,6
the 1,6
The Story Of Us,6
Wildest Dreams,6
right where you left me - bonus track,6
Mr. Perfectly Fine (Taylor’s Version) (From The Vault),6
Don’t Blame Me,6
this is me trying,6
Last Kiss,7
Gorgeous,7
Out Of The Woods,7
That’s When (feat. Keith Urban) (Taylor’s Version) (From The Vault),7
august,7
Delicate,7
marjorie,7
seven,7
I Forgot That You Existed,7
Our Song,7
You Need To Calm Down,7
I Did Something Bad,7
epiphany,7
New Year’s Day,7
All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),7
betty,7
The Last Time (feat. Gary Lightbody of Snow Patrol) (Taylor’s Version),7
Death By A Thousand Cuts,7
Stay Stay Stay (Taylor's Version),7
I Think He Knows,7
Nothing New (feat. Phoebe Bridgers) (Taylor’s Version) (From The Vault),7
Cornelia Street,7
Don’t You (Taylor’s Version) (From The Vault),7
Clean,7
22 (Taylor's Version),7
Paper Rings,7
We Were Happy (Taylor’s Version) (From The Vault),7
mirrorball,7
King Of My Heart,7
Treacherous (Taylor's Version),7
The Man,7
A Place in this World,8
Sparks Fly,8
The Outside,8
Hey Stephen (Taylor’s Version),8
Message In A Bottle (Taylor's Version) (From The Vault),8
Forever Winter (Taylor's Version) (From The Vault),8
Welcome To New York,8
Speak Now,8
Mine,8
Mine - POP Mix,8
The Very First Night (Taylor's Version) (From The Vault),8
Forever & Always (Piano Version) (Taylor’s Version),8
illicit affairs,8
happiness,8
hoax,8
gold rush,8
Afterglow,8
coney island (feat. The National),8
Picture To Burn,8
Teardrops On My Guitar - Radio Single Remix,8
Fearless (Taylor’s Version),8
Tell Me Why (Taylor’s Version),8
Change (Taylor’s Version),8
Blank Space,8
All You Had To Do Was Stay,8
Fifteen (Taylor’s Version),8
Style,8
Invisible,8
